neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
25,0,1,2,293,55
9,0,2,1,6,100
68,1,1,1,278,120
33,0,2,1,0,100
7,0,1,12,217,115
25,0,2,1,0,50
20,1,3,2,101,200
56,1,7,1,12,210
22,1,15,1,0,62
8,1,3,1,110,145
2,0,3,3,365,60
43,1,1,1,0,180
129,0,3,9,355,89
23,0,1,3,364,95
15,1,2,1,308,124
23,1,30,1,365,9999
8,0,7,1,0,85
141,0,1,1,0,125
37,1,30,15,365,183
6,0,1,4,311,165
12,0,2,1,0,100
1,1,7,1,0,200
21,0,1,4,58,85
41,1,4,1,131,97
15,0,1,1,0,32
6,0,1,1,0,100
2,0,1,2,32,100
2,1,4,1,158,125
25,1,3,1,77,71
12,1,6,2,0,120
44,0,10,1,36,52
45,1,2,1,0,100
13,1,3,1,122,175
21,2,30,6,333,0
18,1,21,1,156,70
12,1,5,1,121,130
14,1,60,1,0,160
2,0,2,3,342,86
14,1,10,1,0,179
25,1,2,1,239,155
47,0,1,1,364,70
21,0,1,1,0,50
26,1,4,1,78,220
2,0,30,1,365,200
21,1,1,1,141,225
12,1,7,1,9,130
7,1,1,1,148,199
6,0,30,5,140,43
170,1,2,1,334,350
21,0,3,1,0,50
83,0,28,2,89,68
6,1,5,1,81,165
5,1,30,50,365,195
4,1,4,1,0,135
4,0,1,4,34,75
21,0,3,5,0,40
29,0,1,1,0,65
13,1,29,2,125,149
21,0,30,4,334,45
8,0,1,1,0,140
11,1,1,3,296,214
26,1,30,232,283,237
6,0,2,2,0,90
12,1,5,1,0,200
3,1,4,1,15,160
2,0,1,5,291,189
14,1,7,1,266,249
12,0,2,1,0,48
77,1,30,232,217,358
132,1,35,1,83,150
12,1,30,3,36,219
23,0,20,1,0,100
7,1,2,1,155,149
20,1,30,52,325,129
169,0,4,1,365,65
1,1,2,1,11,250
29,1,2,1,179,199
149,1,1,1,42,60
30,0,2,1,0,65
5,1,30,232,315,252
6,0,2,1,365,45
8,1,2,1,2,148
22,0,6,1,0,36
12,1,3,1,272,105
5,2,2,1,220,800
2,0,1,1,0,110
63,0,2,3,358,145
79,0,3,1,0,47
101,0,1,1,0,90
49,0,1,1,0,35
12,0,2,2,0,90
7,1,30,65,365,450
20,1,4,1,168,650
56,1,2,1,0,90
124,0,2,1,0,60
23,0,1,3,0,118
84,1,2,1,179,100
25,0,1,1,0,200
6,1,1,2,257,96
8,0,3,1,193,85
12,0,2,3,36,85
2,0,1,1,160,67
85,0,1,5,359,59
15,0,4,1,3,45
